Lonely Is the Night;Billy Squier;1981;Lonely Is the Night by Billy Squier
My Kinda Lover;Billy Squier;;My Kinda Lover by Billy Squier
Rock Me Tonight;Billy Squier;1984;Rock Me Tonight by Billy Squier
She's a Runner;Billy Squier;;She's a Runner by Billy Squier
The Stroke;Billy Squier;1981;The Stroke by Billy Squier
Children Of The Sun;Billy Thorpe;;Children Of The Sun by Billy Thorpe
Fairies Wear Boots;Black Sabbath;1970;Fairies Wear Boots by Black Sabbath
Heaven and Hell;Black Sabbath;1980;Heaven and Hell by Black Sabbath
Iron Man;Black Sabbath;1972;Iron Man by Black Sabbath
N.i.b.;Black Sabbath;1970;N.i.b. by Black Sabbath
Neon Knights;Black Sabbath;1980;Neon Knights by Black Sabbath
Paranoid;Black Sabbath;1970;Paranoid by Black Sabbath
Sweet Leaf;Black Sabbath;1971;Sweet Leaf by Black Sabbath
The Wizard;Black Sabbath;1970;The Wizard by Black Sabbath
War Pigs;Black Sabbath;1970;War Pigs by Black Sabbath
Highway Song;Blackfoot;;Highway Song by Blackfoot
Train, Train;Blackfoot;1979;Train, Train by Blackfoot
Can't Find My Way Home;Blind Faith;1969;Can't Find My Way Home by Blind Faith
Presence of the Lord;Blind Faith;1969;Presence of the Lord by Blind Faith
No Rain;Blind Melon;1992;No Rain by Blind Melon
Presence of the Lord;Blind Melon;;Presence of the Lord by Blind Melon
All the Small Things;Blink-182;1999;All the Small Things by Blink-182
Call Me;Blondie;1980;Call Me by Blondie
Heart of Glass;Blondie;1978;Heart of Glass by Blondie
One Way Or Another;Blondie;1978;One Way Or Another by Blondie
(Don't Fear) The Reaper;Blue Oyster Cult;1976;(Don't Fear) The Reaper by Blue Oyster Cult
Bucks Boogie;Blue Oyster Cult;;Bucks Boogie by Blue Oyster Cult
Burnin' for You;Blue Oyster Cult;1981;Burnin' for You by Blue Oyster Cult
Godzilla;Blue Oyster Cult;1977;Godzilla by Blue Oyster Cult
I Love the Night;Blue Oyster Cult;1977;I Love the Night by Blue Oyster Cult
Summertime Blues;Blue Oyster Cult;;Summertime Blues by Blue Oyster Cult
Song 2;Blur;1997;Song 2 by Blur
